cidade,algoritmo,tempo_cpu,distancia_total,sucesso
Recife,ASTAR,0.08068712552388509,8011.049240818742,3
Recife,BFS,0.011922438939412435,10285.50901414331,3
Recife,DIJKSTRA,0.16551661491394043,8011.049240818742,3
